My metrics,Thu, 19 Jan 2023 08:57:32 EET
service.MasterService.findFriends(User),0,1
"service.MasterService.findMessages(User, User)",7,6
"service.MasterService.findPotentialUser(String, String)",3,3
service.MasterService.getAllFriendships(),1,2
service.MasterService.getAllUsers(),0,1
"service.MasterService.getConfidential(String, String)",4,4
service.MasterService.getFriendship(Long),4,4
"service.MasterService.getFriendship(Long, Long)",4,4
service.MasterService.getFriendshipSentReceived(User),6,4
service.MasterService.getMostSociableCommunity(),20,12
service.MasterService.getNumberOfCommunities(),0,1
"service.MasterService.getUser(String, String)",4,4
service.MasterService.getUserById(Long),0,1
"service.MasterService.login(String, String)",1,2
"service.MasterService.registerUser(String, String, String, String)",4,5
"service.MasterService.removeFriendship(List<String>, List<String>)",4,5
service.MasterService.removeUser(String),0,1
"service.MasterService.sendFriendRequest(User, User)",6,6
"service.MasterService.sendMessage(User, User, String)",0,1
"service.MasterService.updateFriendship(List<String>, List<String>, List<String>)",4,6
"service.MasterService.updateUser(String, String, String)",0,1
service.MessageService.MessageService(Repository),0,1
service.MessageService.getNextId(),3,3
service.ServiceException.ServiceException(String),0,1
service.UserService.UserService(Repository),0,1
service.UserService.getNextId(),3,3
ui.ChatPageController.initialize(),0,1
ui.ChatPageController.onBackButtonClicked(),0,1
ui.ChatPageController.onSendButtonClicked(),3,3
ui.ChatPageController.refresh(),0,1
ui.ChatPageController.setFromUser(User),0,1
ui.ChatPageController.setService(MasterService),0,1
ui.ChatPageController.setToUser(User),0,1
ui.Console.Console(MasterService),0,1
ui.Console.addFriendship(),1,2
ui.Console.addUser(),1,2
ui.Console.menu(),0,1
ui.Console.readFriendship(),0,1
ui.Console.removeFriendship(),1,2
ui.Console.removeUser(),3,3
ui.Console.run(),3,13
ui.Console.showAllFriendships(),0,1
ui.Console.showAllUsers(),0,1
ui.Console.showMostSociableCommunity(),0,1
ui.Console.showNumberOfCommunities(),0,1
ui.Console.testing(),0,1
ui.Console.updateFriendship(),1,2
ui.Console.updateUser(),3,3
ui.LoginPageController.onCloseButtonClicked(),0,1
ui.LoginPageController.onLoginButtonClicked(),3,3
ui.LoginPageController.onRegisterButtonClicked(),0,1
ui.LoginPageController.setService(MasterService),0,1
"ui.MainPageController.extractInfo(TableColumn<Friendship, String>, TableColumn<Friendship, String>)",6,3
ui.MainPageController.initialize(),3,2
ui.MainPageController.listUsersHandler(),0,1
ui.MainPageController.onAcceptButtonClicked(),5,5
ui.MainPageController.onCancelButtonClicked(),5,5
ui.MainPageController.onDenyButtonClicked(),5,5
ui.MainPageController.onFriendRequestButtonClicked(),4,4
ui.MainPageController.onLogoutButtonClicked(),0,1
ui.MainPageController.onOpenChatButtonClicked(),4,4
ui.MainPageController.onRemoveFriendButtonClicked(),4,4
ui.MainPageController.refreshFriendRequests(),0,1
ui.MainPageController.refreshFriends(),0,1
ui.MainPageController.setCurrentUser(User),0,1
ui.MainPageController.setService(MasterService),0,1
ui.RegisterPageController.onCloseButtonClicked(),0,1
ui.RegisterPageController.onRegisterButtonClicked(),4,4
ui.RegisterPageController.setService(MasterService),0,1
ui.UiException.UiException(),0,1
ui.UiException.UiException(String),0,1
"ui.UiException.UiException(String, Throwable)",0,1
"ui.UiException.UiException(String, Throwable, boolean, boolean)",0,1
ui.UiException.UiException(Throwable),0,1
utils.Graph.DFS(),3,3
"utils.Graph.DFSUtil(int, boolean[], ArrayList<Integer>)",4,3
utils.Graph.Graph(int),1,2
"utils.Graph.addEdge(int, int)",0,1
"utils.Graph.dfs(int, boolean[], int[])",4,3
utils.Graph.getLongestPath(),6,4
utils.Graph.getNumberOfConnectedComponents(),0,1
utils.SceneFactory.SceneFactory(),0,1
utils.SceneFactory.getInstance(),1,2
"utils.SceneFactory.setScene(String, String, List<Object>, Button)",1,4

Class,CBO,DIT,LCOM,NOC,WMC
config.ApplicationContext,2,1,1,0,1
config.Config,1,1,1,0,1
domain.Confidential,6,2,3,0,9
domain.Entity,25,1,2,4,4
domain.Friendship,9,2,3,0,9
domain.Message,6,2,3,0,7
domain.User,12,2,3,0,15
domain.factory.EntityFactory,8,1,2,0,11
domain.validators.ConfidentialValidator,4,1,1,0,3
domain.validators.FriendshipValidator,4,1,1,0,3
domain.validators.MessageValidator,4,1,1,0,2
domain.validators.UserValidator,4,1,1,0,14
domain.validators.ValidatorException,8,4,0,0,5
main.HelloApplication,0,2,2,0,2
main.HelloController,0,1,1,0,1
main.Main,16,2,2,0,4
repository.RepositoryException,3,4,0,0,1
repository.database.AbstractDBRepository,9,1,1,4,14
repository.database.ConfidentialDBRepository,5,2,5,0,6
repository.database.FriendshipDBRepository,5,2,5,0,6
repository.database.MessageDBRepository,5,2,5,0,6
repository.database.UserDBRepository,5,2,5,0,6
repository.file.AbstractFileRepository,6,2,1,2,11
repository.file.FriendshipFileRepository,5,3,2,0,4
repository.file.UserFileRepository,4,3,3,0,4
repository.memory.FriendshipInMemoryRepository,3,2,1,0,2
repository.memory.InMemoryRepository,7,1,2,3,16
repository.memory.UserInMemoryRepository,3,2,1,0,2
service.BasicService,9,1,1,4,9
service.ConfidentialService,6,2,1,0,4
service.FriendshipService,7,2,2,0,8
service.MasterService,20,1,2,0,68
service.MessageService,6,2,1,0,4
service.ServiceException,1,4,0,0,1
service.UserService,6,2,1,0,4
ui.ChatPageController,3,1,1,0,8
ui.Console,2,1,1,0,30
ui.LoginPageController,5,1,2,0,5
ui.MainPageController,7,1,1,0,36
ui.RegisterPageController,2,1,1,0,5
ui.UiException,1,4,0,0,5
utils.Constants,4,1,0,0,0
utils.Graph,2,1,1,0,17
utils.SceneFactory,5,1,2,0,4

Interface,CBO
domain.Deletable,1
domain.factory.Factory,2
domain.validators.Validator,16
repository.Repository,10
service.Service,2

Package,Ca,Ce,I
config,24,0,0.00
domain,476,0,0.00
domain.factory,4,20,0.83
domain.validators,24,29,0.55
main,0,44,1.00
repository,29,2,0.06
repository.database,4,77,0.95
repository.file,0,47,1.00
repository.memory,9,31,0.78
service,66,273,0.81
ui,14,153,0.92
utils,41,15,0.27

